race,vehicle_number,lap,zone_id,classification,x_meters,y_meters
R1,0,6,4,Conservative,535649.8883740763,3710622.058039066
R1,0,6,5,Conservative,535781.6130980973,3710631.851364362
R1,0,6,6,Conservative,535529.9454117639,3710298.908860865
R1,0,6,7,Conservative,535172.8254673843,3710126.305996783
R1,0,6,8,Optimal,535100.1372450893,3710049.488127211
R1,0,6,9,Aggressive,534900.1345631568,3710111.3568800245
R1,0,6,10,Conservative,534942.0858448138,3710264.191414104
R1,0,6,11,Conservative,535066.3084651134,3710195.703192931
R1,0,7,1,Conservative,535468.0130169671,3710572.7479230245
R1,0,7,2,Conservative,535487.8594980151,3710761.8768276474
R1,0,7,3,Conservative,535271.4868507575,3710267.929835565
R1,0,7,4,Conservative,535649.1846879966,3710620.7866030023
R1,0,7,5,Optimal,535785.1581548523,3710631.018650363
R1,0,7,6,Conservative,535529.9500927568,3710297.640047976
R1,0,7,7,Conservative,535173.5385206197,3710125.039771586
R1,0,7,8,Aggressive,535098.022758463,3710046.519820526
R1,0,7,9,Optimal,534899.4338054637,3710109.2396260616
R1,0,7,10,Conservative,534939.9698236617,3710261.6460786876
R1,0,7,11,Conservative,535064.8993357721,3710193.5833470053
R1,0,8,1,Conservative,535465.8972025034,3710570.2024691934
R1,0,8,2,Conservative,535488.5678709305,3710761.879438369
R1,0,8,3,Conservative,535269.3616234075,3710267.9220523774
R1,0,8,4,Conservative,535649.8962029344,3710619.943349799
R1,0,8,5,Optimal,535782.3277671351,3710630.162245065
R1,0,8,6,Conservative,535531.3653465468,3710298.068212718
R1,0,8,7,Conservative,535172.8316456093,3710124.614246983
R1,0,8,8,Optimal,535100.140327737,3710048.642252433
R1,0,8,9,Optimal,534899.418480035,3710113.4689999227
R1,0,8,10,Conservative,534941.3881768781,3710261.2282814737
R1,0,8,11,Conservative,535061.3495649926,3710195.685138848
R1,0,9,1,Conservative,535465.1981612929,3710567.6622335576
R1,0,9,2,Conservative,535487.8548218235,3710763.145641368
R1,0,9,3,Conservative,535272.8974728843,3710269.6267748536
R1,0,9,4,Conservative,535649.8883740763,3710622.058039066
R1,0,9,5,Optimal,535783.739817744,3710631.4363233848
R1,0,9,6,Conservative,535529.946972095,3710298.4859232344
R1,0,9,7,Conservative,535190.4849581851,3710140.32762745
R1,0,9,8,Aggressive,535098.7219361931,3710049.060026456
R1,0,9,9,Optimal,534900.8506465871,3710109.2447601845
R1,0,9,10,Conservative,534939.9621516482,3710263.760766125
R1,0,9,11,Conservative,535062.0564395661,3710196.110655317
R1,0,10,1,Conservative,535465.8987601666,3710569.7795314076
R1,0,10,2,Conservative,535490.6914308222,3710762.3102087555
R1,0,10,3,Conservative,535271.4729100723,3710271.7362735993
R1,0,10,4,Conservative,535649.1831222561,3710621.2095408565
R1,0,10,5,Optimal,535782.3230523547,3710631.4310587263
R1,0,10,6,Conservative,535530.652258399,3710299.334412026
R1,0,10,7,Conservative,535170.7094757409,3710123.76061093
R1,0,10,8,Optimal,535098.7296424992,3710046.9453395163
R1,0,10,9,Optimal,534900.1498888888,3710107.1275061746
R1,0,10,10,Conservative,534939.9682892594,3710262.0690161753
R1,0,10,11,Conservative,535061.3526443882,3710194.8392639067
R1,0,11,1,Conservative,535464.4819861017,3710569.77431359
R1,0,11,2,Conservative,535487.8594980151,3710761.8768276474
R1,0,11,3,Conservative,535272.2076518334,3710264.5489296066
R1,0,11,4,Conservative,535649.8836767595,3710623.3268526294
R1,0,11,5,Conservative,535779.4832356999,3710633.1122815823
R1,0,11,6,Conservative,535530.6506980364,3710299.7573496583
R1,0,11,7,Conservative,535171.411717425,3710125.4549477277
R1,0,11,8,Aggressive,535099.4303613035,3710049.062608113
R1,0,11,9,Optimal,534896.5863314534,3710113.035794908
R1,0,11,10,Conservative,534939.9667548568,3710262.4919536617
R1,0,11,11,Conservative,535062.0595190242,3710195.2647803747
R1,0,12,1,Conservative,535464.4819861017,3710569.77431359
R1,0,12,2,Conservative,535487.8594980151,3710761.8768276474
R1,0,12,3,Conservative,535270.7722459062,3710269.6189913517
R1,0,12,4,Conservative,535651.298877341,3710623.755035647
R1,0,12,5,Conservative,535781.6099549715,3710632.6972401366
R1,0,12,6,Conservative,535531.3544237913,3710301.028776137
R1,0,12,7,Conservative,535169.297269622,3710122.486624745
R1,0,12,8,Optimal,535098.7296424992,3710046.9453395163
R1,0,12,9,Optimal,534895.8794435604,3710112.6102907457
R1,0,12,10,Conservative,534939.9667548568,3710262.4919536617
R1,0,12,11,Conservative,535064.1847620255,3710195.2725176825
R1,0,13,1,Conservative,535465.1825849724,3710571.8916113935
R1,0,13,2,Conservative,535489.2778026375,3710761.4591112374
R1,0,13,3,Conservative,535272.1890638921,3710269.6241803
R1,0,13,4,Conservative,535648.4716074744,3710622.0527941114
R1,0,13,5,Conservative,535782.319909167,3710632.2769345012
R1,0,13,6,Conservative,535532.0612702095,3710301.4543274045
R1,0,13,7,Conservative,535172.8316456093,3710124.614246983
R1,0,13,8,Aggressive,535099.4349851811,3710047.7937959493
R1,0,13,9,Conservative,534896.5863314534,3710113.035794908
R1,0,13,10,Conservative,534940.6782330382,3710261.6486487985
R1,0,13,11,Conservative,535062.769473118,3710194.844421955
R1,0,14,1,Conservative,535463.7829444851,3710567.234078062
R1,0,14,2,Conservative,535486.4443108543,3710761.4486684543
R1,0,14,3,Conservative,535270.7521097532,3710275.1171796434
R1,0,14,4,Conservative,535649.882110987,3710623.7497904846
R1,0,14,5,Conservative,535783.0235769226,3710633.5483804704
R1,0,14,6,Conservative,535527.8248714834,3710297.6322076973
R1,0,14,7,Conservative,535171.411717425,3710125.4549477277
R1,0,14,8,Optimal,535099.4272787177,3710049.9084828906
R1,0,14,9,Optimal,534897.9909121598,3710116.4244277216
R1,0,14,10,Conservative,534939.9590828416,3710264.6066411017
R1,0,14,11,Conservative,535065.5954311548,3710196.969426036
R1,0,15,1,Conservative,535464.4835437025,3710569.3513758066
R1,0,15,2,Conservative,535487.1464490016,3710763.143030697
R1,0,15,3,Conservative,535272.1844169033,3710270.8929929794
R1,0,15,4,Conservative,535650.5904941644,3710623.75241304
R1,0,15,5,Optimal,535782.318337573,3710632.6998723885
R1,0,15,6,Conservative,535531.3731485102,3710295.9535245704
R1,0,15,7,Conservative,535173.5431543806,3710123.7709592353
R1,0,15,8,Aggressive,535098.7296424992,3710046.9453395163
R1,0,15,9,Optimal,534899.4384030893,3710107.970813907
R1,0,15,10,Conservative,534940.6828363377,3710260.3798363386
R1,0,15,11,Conservative,535063.4809670637,3710194.001126115
R1,0,16,1,Conservative,535463.779829347,3710568.0799536277
R1,0,16,2,Conservative,535489.9861755846,3710761.4617220643
R1,0,16,3,Conservative,535270.7614033655,3710272.579554273
R1,0,16,4,Conservative,535649.8852425319,3710622.903914775
R1,0,16,5,Conservative,535783.0282917988,3710632.279566805
R1,0,16,6,Conservative,535532.7821606686,3710298.07344004
R1,0,16,7,Conservative,535171.4240733723,3710122.0714481343
R1,0,16,8,Optimal,535098.7296424992,3710046.9453395163
R1,0,16,9,Aggressive,534898.7223198795,3710110.0829338487
R1,0,16,10,Conservative,534939.965220454,3710262.914891151
R1,0,16,11,Conservative,535063.4809670637,3710194.001126115
R1,0,17,1,Conservative,535463.787617191,3710565.9652647185
R1,0,17,2,Conservative,535486.4427521862,3710761.87160636
R1,0,17,3,Conservative,535270.0638369147,3710269.6163969547
R1,0,17,4,Conservative,535651.297311506,3710624.177973503
R1,0,17,5,Conservative,535780.9015723702,3710632.694607938
R1,0,17,6,Conservative,535532.0815557272,3710295.956138205
R1,0,17,7,Conservative,535170.7218314343,3710120.377111347
R1,0,17,8,Optimal,535098.7296424992,3710046.9453395163
R1,0,17,9,Optimal,534897.2947517347,3710113.0383617366
R1,0,17,10,Conservative,534940.6797674715,3710261.2257113117
R1,0,17,11,Conservative,535063.4825068542,3710193.5781886457
R1,0,18,1,Conservative,535464.4804285007,3710570.1972513744
R1,0,18,2,Conservative,535489.9830579372,3710762.3075978775
R1,0,18,3,Conservative,535270.0622880119,3710270.039334515
R1,0,18,4,Conservative,535649.1799907746,3710622.055416564
R1,0,18,5,Conservative,535782.318337573,3710632.6998723885
R1,0,18,6,Conservative,535532.0737536082,3710298.0708263535
R1,0,18,7,Conservative,535170.0056893738,3710122.489211639
R1,0,18,8,Optimal,535099.4380677653,3710046.9479211727
R1,0,18,9,Optimal,534898.7207873681,3710110.505871232
R1,0,18,10,Conservative,534942.7988575867,3710262.9251719057
R1,0,18,11,Conservative,535063.4794272729,3710194.424063586
R1,0,19,1,Conservative,535463.787617191,3710565.9652647185
R1,0,19,2,Conservative,535486.4443108543,3710761.4486684543
R1,0,19,3,Conservative,535272.8959238571,3710270.049712413
R1,0,19,4,Conservative,535653.4240268745,3710623.7629037825
R1,0,19,5,Optimal,535784.4482004396,3710631.4389557927
R1,0,19,6,Conservative,535532.0768744563,3710297.224951093
R1,0,19,7,Conservative,535171.4240733723,3710122.0714481343
R1,0,19,8,Optimal,535100.151116999,3710045.681690721
R1,0,19,9,Optimal,534896.5878638724,3710112.612857522
R1,0,19,10,Conservative,534941.385107949,3710262.074156449
R1,0,19,11,Conservative,535064.1893814914,3710194.0037052706
R1,0,20,1,Conservative,535465.1950460301,3710568.508109122
R1,0,20,2,Conservative,535487.1542424981,3710761.028341165
R1,0,20,3,Conservative,535270.7753437734,3710268.7731162338
R1,0,20,4,Conservative,535652.7140778,3710624.1832188745
R1,0,20,5,Optimal,535780.898429306,3710633.540483714
R1,0,20,6,Conservative,535532.0675119101,3710299.7625768767
R1,0,20,7,Conservative,535172.8301010533,3710125.037184431
R1,0,20,8,Aggressive,535098.725018716,3710048.2141516786
R1,0,20,9,Optimal,534899.4338054637,3710109.2396260616
R1,0,20,10,Conservative,534938.5468675492,3710263.3326885724
R1,0,20,11,Conservative,535064.1847620255,3710195.2725176825
R1,0,21,1,Conservative,535465.1872578702,3710570.6227980405
R1,0,21,2,Conservative,535489.2715674667,3710763.1508628647
R1,0,21,3,Conservative,535269.3600745364,3710268.3449899363
R1,0,21,4,Conservative,535649.8883740763,3710622.058039066
R1,0,21,5,Optimal,535783.0314350487,3710631.43369103
R1,0,21,6,Conservative,535530.6616205708,3710296.7967862464
R1,0,21,7,Conservative,535172.8347347209,3710123.768372081
R1,0,21,8,Optimal,535096.6012843682,3710047.783469633
R1,0,21,9,Optimal,534900.1223025599,3710114.740379124
R1,0,21,10,Conservative,534939.9544796308,3710265.875453569
R1,0,21,11,Conservative,535065.5938912698,3710197.392363508
R1,0,22,1,Conservative,535465.1997189241,3710567.239295775
R1,0,22,2,Conservative,535488.5631946456,3710763.1482520904
R1,0,22,3,Conservative,535271.4868507575,3710267.929835565
R1,0,22,4,Conservative,535649.8899398482,3710621.6351012117
R1,0,22,5,Optimal,535783.7272444915,3710634.819826493
R1,0,22,6,Conservative,535530.652258399,3710299.334412026
R1,0,22,7,Conservative,535173.5338868573,3710126.308583939
R1,0,22,8,Optimal,535096.6028255359,3710047.3605322465
R1,0,22,9,Optimal,534898.0093019388,3710111.3491790714
R1,0,22,10,Conservative,534940.6720953032,3710263.340398749
R1,0,22,11,Conservative,535061.3511046905,3710195.2622013767
R1,0,23,1,Conservative,535464.4851013032,3710568.9284380237
R1,0,23,2,Conservative,535491.3982448203,3710762.7357575945
R1,0,23,3,Conservative,535270.0576413026,3710271.3081471934
R1,0,23,4,Conservative,535649.8868083042,3710622.4809769206
R1,0,23,5,Conservative,535781.61466966,3710631.4284264757
R1,0,23,6,Conservative,535532.0612702095,3710301.4543274045
R1,0,23,7,Conservative,535171.4132619189,3710125.032010277
R1,0,23,8,Optimal,535096.6012843682,3710047.783469633
R1,0,23,9,Aggressive,534897.2993490845,3710111.7695495775
R1,0,23,10,Conservative,534937.8399926075,3710262.9071811303
R1,0,23,11,Conservative,535061.3495649926,3710195.685138848
R1,0,24,1,Conservative,535463.770483929,3710570.617580326
R1,0,24,2,Conservative,535483.6077019864,3710762.2841023155
R1,0,24,3,Conservative,535270.0545434956,3710272.1540223146
R1,0,24,4,Conservative,535650.5936257717,3710622.90653733
R1,0,24,5,Optimal,535783.7272444915,3710634.819826493
R1,0,24,6,Conservative,535530.6553791236,3710298.4885367663
R1,0,24,7,Conservative,535174.2423063319,3710126.311171146
R1,0,24,8,Optimal,535097.3112507702,3710047.363113747
R1,0,24,9,Aggressive,534898.0154318601,3710109.6574295308
R1,0,24,10,Conservative,534939.2552767994,3710263.335258579
R1,0,24,11,Conservative,535063.4794272729,3710194.424063586
R1,0,25,1,Conservative,535463.7751566387,3710569.348766975
R1,0,25,2,Conservative,535487.1480077013,3710762.7200927916
R1,0,25,3,Conservative,535271.4899486859,3710267.0839604484
R1,0,25,4,Conservative,535651.297311506,3710624.177973503
R1,0,25,5,Conservative,535781.6099549715,3710632.6972401366
R1,0,25,6,Conservative,535531.3653465468,3710298.068212718
R1,0,25,7,Conservative,535172.8316456093,3710124.614246983
R1,0,25,8,Optimal,535100.143410384,3710047.796377658
R1,0,25,9,Aggressive,534896.59092871,3710111.7669827486
R1,0,25,10,Conservative,534937.8430612261,3710262.0613061567
R1,0,25,11,Conservative,535064.1893814914,3710194.0037052706
R1,0,26,1,Conservative,535464.4913317044,3710567.236686893
R1,0,26,2,Conservative,535484.3160748692,3710762.2867127242
R1,0,26,3,Conservative,535269.3445858173,3710272.5743655306
R1,0,26,4,Conservative,535649.1784250336,3710622.4783544177
R1,0,26,5,Conservative,535780.898429306,3710633.540483714
R1,0,26,6,Conservative,535532.7821606686,3710298.07344004
R1,0,26,7,Conservative,535189.7858115791,3710137.7874142653
R1,0,26,8,Aggressive,535093.0653224064,3710046.0788133675
R1,0,26,9,Optimal,534899.4246102084,3710111.777250374
R1,0,26,10,Conservative,534940.675164171,3710262.4945237725
R1,0,26,11,Conservative,535064.8916365068,3710195.698034361
R1,0,27,1,Conservative,535463.7782717777,3710568.5028914087
R1,0,27,2,Conservative,535491.393568161,3710764.0045713186
R1,0,27,3,Conservative,535271.4775569688,3710270.4674609206
R1,0,27,4,Conservative,535649.1721620681,3710624.170105835
R1,0,27,5,Conservative,535781.6130980973,3710631.851364362
R1,0,27,6,Conservative,535530.6553791236,3710298.4885367663
R1,0,27,7,Conservative,535170.7094757409,3710123.76061093
R1,0,27,8,Optimal,535098.0212172334,3710046.942757912
R1,0,27,9,Optimal,534899.4246102084,3710111.777250374
R1,0,27,10,Conservative,534939.960617245,3710264.1837036135
R1,0,27,11,Conservative,535066.3084651134,3710195.703192931
R1,0,28,1,Conservative,535466.6164933629,3710567.2445136965
R1,0,28,2,Conservative,535489.9783814651,3710763.5764115998
R1,0,28,3,Conservative,535271.4760080035,3710270.890398479
R1,0,28,4,Conservative,535649.1784250336,3710622.4783544177
R1,0,28,5,Optimal,535783.738246088,3710631.859261272
R1,0,28,6,Conservative,535509.4686642207,3710280.646773453
R1,0,28,7,Conservative,535172.8254673843,3710126.305996783
R1,0,28,8,Aggressive,535100.8410461032,3710050.7595211416
R1,0,28,9,Optimal,534899.4246102084,3710111.777250374
R1,0,28,10,Conservative,534941.3651598948,3710267.5723438063
R1,0,28,11,Conservative,535064.1801425582,3710196.541330098
R1,0,29,1,Conservative,535465.904990818,3710568.0877802754
R1,0,29,2,Conservative,535485.0197719324,3710763.558136906
R1,78,2,7,Conservative,535172.1232260109,3710124.611659879
R1,78,2,8,Conservative,535098.027382151,3710045.2510083667
R1,78,2,9,Conservative,534893.0626172042,3710107.947712936
R1,78,2,10,Conservative,534943.5041977526,3710263.7736172015
R1,78,2,11,Conservative,535061.3618825711,3710192.3016390884
R1,78,19,1,Conservative,535463.7751566387,3710569.348766975
R1,78,19,2,Conservative,535488.5694296919,3710761.456500463
R1,78,19,3,Conservative,535268.6516654522,3710268.342395644
R1,78,19,4,Conservative,535649.8852425319,3710622.903914775
R1,78,19,5,Conservative,535781.6099549715,3710632.6972401366
R1,78,19,6,Conservative,535529.9454117639,3710298.908860865
R1,78,19,7,Conservative,535170.6955755738,3710127.567047982
R1,78,19,8,Optimal,535096.596660864,3710049.052281795
R1,78,19,9,Optimal,534894.4702645639,3710110.4904704224
R1,78,19,10,Conservative,534937.8384582979,3710263.3301186175
R1,78,19,11,Conservative,535064.1909213131,3710193.5807677996
R1,78,20,1,Conservative,535464.4866589038,3710568.5055002403
R1,78,20,2,Conservative,535484.3191920188,3710761.440836914
R1,78,20,3,Conservative,535265.8180291139,3710268.332018999
R1,78,20,4,Conservative,535649.1737278097,3710623.7471679803
R1,78,20,5,Conservative,535779.4848071696,3710632.6893436946
R1,78,20,6,Conservative,535529.2354444653,3710299.329185016
R1,78,20,7,Conservative,535169.2818256181,3710126.7159992373
R1,78,20,8,Optimal,535096.5982020323,3710048.6293444075
R1,78,20,9,Optimal,534895.1771526751,3710110.9159744787
R1,78,20,10,Conservative,534937.1346518818,3710262.058736255
R1,78,20,11,Conservative,535062.0656779384,3710193.5730304937
R1,78,18,1,Conservative,535463.0620969599,3710570.6149715465
R1,78,18,2,Conservative,535488.5725472142,3710760.610624651
R1,78,18,3,Conservative,535267.9494516014,3710266.6480511758
R1,78,18,4,Conservative,535649.1752935512,3710623.324230125
R1,78,18,5,Conservative,535781.619384347,3710630.1596128144
R1,78,18,6,Conservative,535524.293756602,3710294.658578215
R1,78,18,7,Conservative,535169.9902450588,3710126.7185861333
R1,78,18,8,Optimal,535098.7219361931,3710049.060026456
R1,78,18,9,Conservative,534894.4610706124,3710113.028094735
R1,78,18,10,Conservative,534938.5453332084,3710263.755626059
R1,78,18,11,Conservative,535066.314624775,3710194.011443045
R1,78,21,1,Conservative,535464.4866589038,3710568.5055002403
R1,78,21,2,Conservative,535483.6092605302,3710761.8611644087
R1,78,21,3,Conservative,535270.0591902059,3710270.8852096335
R1,78,21,4,Conservative,535652.0135239817,3710622.0659068865
R1,78,21,5,Conservative,535781.61466966,3710631.4284264757
R1,78,21,6,Conservative,535529.2432459645,3710297.2144968673
R1,78,21,7,Conservative,535170.7048423532,3710125.0294232783
R1,78,21,8,Optimal,535096.6059078709,3710046.5146574727
R1,78,21,9,Conservative,534897.3100762285,3710108.8089878825
R1,78,21,10,Conservative,534941.3881768781,3710261.2282814737
R1,78,21,11,Conservative,535063.4825068542,3710193.5781886457
R1,78,22,1,Conservative,535466.5915702494,3710574.0115182498
R1,78,22,2,Conservative,535485.0291235686,3710761.0205094684
R1,78,22,3,Conservative,535267.9432563669,3710268.339801405
R1,78,22,4,Conservative,535649.8852425319,3710622.903914775
R1,78,22,5,Conservative,535780.2010472727,3710630.5772863557
R1,78,22,6,Conservative,535529.2370047654,3710298.9062473862
R1,78,22,7,Conservative,535185.5368448665,3710137.348947438
R1,78,22,8,Optimal,535098.7234774545,3710048.637089067
R1,78,22,9,Optimal,534895.884040723,3710111.341478588
R1,78,22,10,Conservative,534942.0950517906,3710261.6537891757
R1,78,22,11,Conservative,535062.7756321561,3710193.1526720747
R1,78,16,1,Conservative,535463.779829347,3710568.0799536277
R1,78,16,2,Conservative,535486.4489868573,3710760.1798547367
R1,78,16,3,Conservative,535265.8195778294,3710267.909081441
R1,78,16,4,Conservative,535652.007260519,3710623.757658307
R1,78,16,5,Conservative,535782.3277671351,3710630.162245065
R1,78,16,6,Conservative,535528.5239169596,3710300.1724468516
R1,78,16,7,Conservative,535170.6971200375,3710127.14411053
R1,78,16,8,Optimal,535096.5982020323,3710048.6293444075
R1,78,16,9,Optimal,534893.0426977898,3710113.4458989343
R1,78,16,10,Conservative,534939.2583455428,3710262.4893836034
R1,78,16,11,Conservative,535063.487126225,3710192.3093762365
R1,78,17,1,Conservative,535461.6499954499,3710569.3409407944
R1,78,17,2,Conservative,535484.3191920188,3710761.440836914
R1,78,17,3,Conservative,535265.1235581835,3710264.5229869634
R1,78,17,4,Conservative,535651.297311506,3710624.177973503
R1,78,17,5,Conservative,535779.4926645163,3710630.5746542607
R1,78,17,6,Conservative,535528.5270374982,3710299.32657159
R1,78,17,7,Conservative,535171.4070839421,3710126.7237600805
R1,78,17,8,Optimal,535098.7203949313,3710049.4829638437
R1,78,17,9,Optimal,534893.0564881564,3710109.639462468
R1,78,17,10,Conservative,534940.675164171,3710262.4945237725
R1,78,17,11,Conservative,535064.1970805982,3710191.8890179214
R1,78,15,1,Conservative,535463.0698846531,3710568.5002826317
R1,78,15,2,Conservative,535482.9055631533,3710760.589740336
R1,78,15,3,Conservative,535267.9432563669,3710268.339801405
R1,78,15,4,Conservative,535651.3020090105,3710622.9091599374
R1,78,15,5,Conservative,535778.7905675113,3710628.880270676
R1,78,15,6,Conservative,535529.2385650654,3710298.4833097565
R1,78,15,7,Conservative,535171.4055394476,3710127.14669753
R1,78,15,8,Optimal,535098.7234774545,3710048.637089067
R1,78,15,9,Optimal,534897.3162060217,3710107.1172383474
R1,78,15,10,Conservative,534939.9682892594,3710262.0690161753
R1,78,15,11,Conservative,535063.4855864348,3710192.732313706
R1,78,26,1,Conservative,535463.0620969599,3710570.6149715465
R1,78,26,2,Conservative,535487.1635946886,3710758.490713735
R1,78,26,3,Conservative,535268.6563119715,3710267.073582971
R1,78,26,4,Conservative,535651.3082723474,3710621.2174085206
R1,78,26,5,Conservative,535782.3309103213,3710629.3163692923
R1,78,26,6,Conservative,535528.5395196461,3710295.9430705556
R1,78,26,7,Conservative,535170.698664501,3710126.72117308
R1,78,26,8,Optimal,535099.4303613035,3710049.062608113
R1,78,26,9,Conservative,534895.1740879627,3710111.7618492497
R1,78,26,10,Conservative,534939.2629486567,3710261.2205711426
R1,78,26,11,Conservative,535062.7787116743,3710192.3067971347
R1,78,27,1,Conservative,535463.7751566387,3710569.348766975
R1,78,27,2,Conservative,535485.0322407794,3710760.174633658
R1,78,27,3,Conservative,535267.9401587488,3710269.1856765216
R1,78,27,4,Conservative,535650.5983231813,3710621.6377237663
R1,78,27,5,Optimal,535783.7476760217,3710629.3216339503
R1,78,27,6,Conservative,535531.3637861536,3710298.491150348
R1,78,27,7,Conservative,535170.7094757409,3710123.76061093
R1,78,27,8,Optimal,535098.73118376,3710046.52240213
R1,78,27,9,Optimal,534893.7495857427,3710113.8714028886
R1,78,27,10,Conservative,534937.8445955351,3710261.6383686685
R1,78,27,11,Conservative,535063.4886660149,3710191.886438768
R1,78,25,1,Conservative,535463.7751566387,3710569.348766975
R1,78,25,2,Conservative,535486.4505455247,3710759.756916832
R1,78,25,3,Conservative,535267.2363960596,3710267.9142696587
R1,78,25,4,Conservative,535649.1815565154,3710621.6324787084
R1,78,25,5,Conservative,535782.321480761,3710631.8539966135
R1,78,25,6,Conservative,535532.0690723349,3710299.3396392455
R1,78,25,7,Conservative,535170.7079312785,3710124.18354838
R1,78,25,8,Optimal,535098.0242996925,3710046.096883138
R1,78,25,9,Optimal,534894.4733292132,3710109.6445956547
R1,78,25,10,Conservative,534937.846129844,3710261.2154311836
R1,78,25,11,Conservative,535063.4932853838,3710190.617626362
R1,78,28,1,Conservative,535463.0745572671,3710567.2314692843
R1,78,28,2,Conservative,535488.5772234964,3710759.3418109342
R1,78,28,3,Conservative,535269.3585256652,3710268.767927494
R1,78,28,4,Conservative,535650.5983231813,3710621.6377237663
R1,78,28,5,Conservative,535780.9062869654,3710631.4257942764
R1,78,28,6,Conservative,535530.6569394857,3710298.065599135
R1,78,23,1,Conservative,535463.772041499,3710570.1946425424
R1,78,23,2,Conservative,535484.3254263159,3710759.749085294
R1,78,23,3,Conservative,535268.6609584895,3710265.8047703006
R1,78,23,4,Conservative,535650.595191575,3710622.4835994756
R1,78,23,5,Conservative,535779.4910930473,3710630.997592147
R1,78,23,6,Conservative,535530.652258399,3710299.334412026
R1,78,23,7,Conservative,535184.8299712876,3710136.9234219324
R1,78,23,8,Optimal,535098.0242996925,3710046.096883138
R1,78,23,9,Conservative,534895.890170271,3710109.649729049
R1,78,23,10,Conservative,534938.5560735906,3710260.7950636516
R1,78,23,11,Conservative,535062.7787116743,3710192.3067971347
R1,78,24,1,Conservative,535463.770483929,3710570.617580326
R1,78,24,2,Conservative,535485.030682174,3710760.5975715634
R1,78,24,3,Conservative,535267.9370611301,3710270.0315516395
R1,78,24,4,Conservative,535649.8868083042,3710622.4809769206
R1,78,24,5,Conservative,535783.0314350487,3710631.43369103
R1,78,24,6,Conservative,535530.6600602092,3710297.2197238756
R1,78,24,7,Conservative,535171.4148064128,3710124.6090728287
R1,78,24,8,Optimal,535098.022758463,3710046.519820526
R1,78,24,9,Optimal,534896.6001232186,3710109.229358439
R1,78,24,10,Conservative,534939.9682892594,3710262.0690161753
R1,78,24,11,Conservative,535064.1955407772,3710192.3119553905
R1,78,6,1,Conservative,535463.770483929,3710570.617580326
R1,78,6,2,Conservative,535489.987734408,3710761.038784157
R1,78,6,3,Conservative,535267.941707558,3710268.7627389627
R1,78,6,4,Conservative,535651.2941798356,3710625.023849213
R1,78,6,5,Conservative,535780.9078584968,3710631.002856388
R1,78,6,6,Conservative,535534.8792919526,3710305.6941588135
R1,78,6,7,Conservative,535169.9871561939,3710127.564461035
R1,78,6,8,Optimal,535098.7203949313,3710049.4829638437
R1,78,6,9,Optimal,534892.3480676278,3710109.636895954
R1,78,6,10,Conservative,534940.6659575658,3710265.0321487025
R1,78,6,11,Conservative,535063.4855864348,3710192.732313706
